Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
450,451,1,6433.05,6449.81,0.260529608816972,long,Max Drawdown Limit,147,2463.720000000032,954181.27,0.0,0.0
454,455,1,5922.41,5753.4,2.8537369077791004,short,Max Drawdown Limit,161,27210.610000000037,981391.88,0.0,0.0
456,457,1,5655.94,5628.29,0.4888665721347758,short,Max Drawdown Limit,173,4783.449999999937,986175.33,0.0,0.0
458,459,1,5662.0,4910.03,13.280996114447197,short,trailing_take_profit,174,130842.78000000004,1117018.11,0.0,0.0
460,461,1,4558.86,4661.07,-2.2420078703886506,short,Max Drawdown Limit,245,-25041.450000000008,1091976.6600000001,2.2932220913952457,2.241812355217764
462,463,1,4370.0,4420.61,-1.1581235697940429,short,Max Drawdown Limit,249,-12601.88999999992,1079374.7700000003,1.167517562041949,1.1540438968722917
464,465,1,3932.44,4085.78,-3.8993601936711086,short,Max Drawdown Limit,274,-42015.16000000004,1037359.6100000002,4.0502020316754015,3.892546052378084
466,467,1,3862.2,3875.21,-0.3368546424317803,short,Max Drawdown Limit,268,-3486.6800000000585,1033872.9300000002,0.3372445393265157,0.3361110232545154
468,469,1,4264.85,4295.84,-0.7266375136288447,short,Max Drawdown Limit,242,-7499.579999999947,1026373.3500000002,0.7306873273745813,0.7253870163715339
470,471,1,4041.32,4190.02,-3.6794908594221756,short,Max Drawdown Limit,253,-37621.10000000007,988752.2500000001,3.8049066386448263,3.6654400662293196
476,477,1,3508.75,3403.55,2.998218738867113,short,Max Drawdown Limit,281,29561.19999999995,1018313.4500000001,0.0,0.0
478,479,1,3410.93,3545.37,-3.9414470540292545,short,Max Drawdown Limit,298,-40063.12000000002,978250.3300000001,4.095385278326457,3.934262087965154
485,486,1,3211.72,3228.67,-0.5277545987819696,short,Max Drawdown Limit,304,-5152.800000000083,973097.53,0.5295255450910503,0.5267363416069634
487,488,1,3509.08,3652.98,4.100789950642336,long,Max Drawdown Limit,277,39860.300000000025,1012957.83,0.0,0.0
489,490,1,3662.22,4049.62,10.578283117890244,long,take_profit,276,106922.40000000002,1119880.23,0.0,0.0
492,493,1,3948.91,3929.71,-0.4862101187416228,long,Max Drawdown Limit,283,-5433.5999999999485,1114446.63,0.4875603598891132,0.4851947426556582
495,496,1,3745.79,3777.74,0.8529575870510577,long,Max Drawdown Limit,297,9489.149999999947,1123935.78,0.0,0.0
497,498,1,3567.91,3839.26,7.605292734401943,long,Max Drawdown Limit,315,85475.25000000012,1209411.0300000003,0.0,0.0
511,512,1,3585.88,3601.31,-0.430298838778761,short,Max Drawdown Limit,337,-5199.909999999945,1204211.1200000003,0.43181049515635717,0.4299539090527325
514,515,1,3476.81,3626.09,-4.293590964130919,short,Max Drawdown Limit,346,-51650.88000000007,1152560.2400000002,4.481403939459174,4.289188095190494
516,517,1,3553.06,3591.84,-1.0914535639702172,short,Max Drawdown Limit,324,-12564.720000000065,1139995.5200000003,1.1021727523981821,1.090157335290342
529,530,1,3434.15,3411.04,0.6729467262641448,short,Max Drawdown Limit,331,7649.410000000042,1147644.9300000004,0.0,0.0
532,533,1,3434.1,3462.07,-0.8144783203750693,short,Max Drawdown Limit,334,-9341.980000000085,1138302.9500000004,0.8206936475039425,0.8140130937536558
