Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
702,703,1,53601.05,49152.47,8.299426970180624,short,ID,103,458203.74000000017,5999300.570000004,0.0,0.0
704,705,1,49396.33,50441.92,-2.1167362028717447,short,signal,121,-126516.38999999958,5872784.180000004,2.1542829792869993,2.1088523324311383
707,708,1,50471.19,47545.59,5.7965742436427705,short,signal,116,339369.6000000007,6212153.780000005,0.0,0.0
712,713,1,46702.75,48343.28,-3.5127053546097367,short,signal,133,-218190.48999999985,5993963.290000005,3.6401706090528965,3.512316303283787
714,715,1,48864.98,47632.38,2.5224608707503937,short,signal,122,150377.2000000007,6144340.490000006,0.0,0.0
727,728,1,47543.74,46464.66,2.269657372348062,short,signal,129,139201.31999999928,6283541.810000005,0.0,0.0
732,733,1,47286.18,46446.1,1.7765867321065092,short,signal,132,110890.56000000023,6394432.370000006,0.0,0.0
734,735,1,45832.01,43451.13,5.194797260691828,short,ID,139,330942.32000000065,6725374.690000006,0.0,0.0
736,737,1,43082.31,41566.48,3.5184510765555386,short,signal,156,236469.47999999914,6961844.1700000055,0.0,0.0
738,739,1,41679.74,41864.62,-0.4435728245905677,short,signal,167,-30874.960000000778,6930969.210000005,0.44546381702943494,0.44348823739904064
740,741,1,41822.49,42729.29,-2.1682114096984733,short,signal,165,-149622.00000000047,6781347.210000005,2.206375744621398,2.1587457030414354
742,743,1,43902.66,42560.11,3.0580151635459054,short,signal,154,206752.70000000045,6988099.910000005,0.0,0.0
750,751,1,40680.91,36445.31,10.411763158690416,short,trailing_take_profit,171,724287.600000001,7712387.510000005,0.0,0.0
752,753,1,35071.42,36244.55,-3.3449743409306056,short,signal,219,-256915.47000000102,7455472.040000005,3.4459987056701578,3.3312054103464064
754,755,1,36660.35,36958.32,-0.8127854753159781,short,signal,203,-60487.910000000236,7394984.130000005,0.8179586181207952,0.8113223371433917
756,757,1,36809.34,37160.1,-0.9529103211304578,short,signal,200,-70152.00000000041,7324832.130000005,0.9577284332931184,0.9486430094610624
765,766,1,41574.25,41382.59,-0.46100651244461055,long,signal,176,-33732.160000000615,7291099.970000004,0.4626484362962332,0.4605178576290475
768,769,1,43839.99,44042.99,0.4630475508776348,long,signal,166,33698.0,7324797.970000004,0.0,0.0
770,771,1,44372.72,43495.44,-1.9770705965286752,long,signal,165,-144751.1999999998,7180046.770000005,2.0160202939736442,1.9761801020704355
778,779,1,40515.7,39974.44,-1.3359265667383133,long,signal,177,-95803.01999999907,7084243.7500000065,1.3523394081407565,1.3342952082190762
780,781,1,40079.17,38386.89,4.222342927760228,short,signal,176,297841.2799999998,7382085.030000007,0.0,0.0
782,783,1,37008.16,38230.33,-3.3024338416176273,short,signal,199,-243211.82999999967,7138873.200000007,3.406865806217147,3.2946224408363376
784,785,1,37250.01,38327.21,-2.8918113042117226,short,signal,191,-205745.19999999943,6933128.000000007,2.9675667317839656,2.8820402637211577
790,791,1,44421.2,43892.98,-1.189116908142945,long,signal,156,-82402.31999999905,6850725.680000009,1.202826150820249,1.18853019877894
792,793,1,42454.0,39148.66,-7.785697460781073,long,nextday,161,-532159.7399999994,6318565.94000001,8.422160108057659,7.767932403914305
794,795,1,39397.96,38420.81,2.480204558814724,short,Max Drawdown Limit,160,156344.00000000023,6474909.94000001,0.0,0.0
796,797,1,37988.0,38730.63,-1.9549068126776807,short,Max Drawdown Limit,170,-126247.09999999955,6348662.84000001,1.988562051280698,1.9497892815478983
801,802,1,38807.36,37777.34,2.6541872469552272,short,Max Drawdown Limit,163,167893.26000000065,6516556.100000011,0.0,0.0
805,806,1,41114.0,40917.9,-0.47696648343629555,long,Max Drawdown Limit,158,-30983.79999999977,6485572.300000011,0.4777342471380631,0.4754627985171457
807,808,1,41757.51,42201.13,1.0623717745622172,long,Max Drawdown Limit,155,68761.09999999928,6554333.40000001,0.0,0.0
809,810,1,41262.11,41002.25,-0.6297787485904152,long,Max Drawdown Limit,158,-41057.88000000009,6513275.52000001,0.6303722278280012,0.6264234285060908
811,812,1,42364.13,42882.76,1.2242196405308092,long,Max Drawdown Limit,153,79350.39000000071,6592625.91000001,0.0,0.0
